"Label (Grouping)","Lumberton city, North Carolina!!Estimate","Lumberton city, North Carolina!!Margin of Error","Lumberton city, North Carolina!!Percent","Lumberton city, North Carolina!!Percent Margin of Error"
"        Less than $250","164","±66","11.0%","±4.2"
"        $250 to $399","301","±84","20.1%","±4.9"
"        $400 to $599","495","±103","33.1%","±6.1"
"        $600 to $799","333","±115","22.3%","±6.9"
"        $800 to $999","96","±35","6.4%","±2.4"
"        $1,000 or more","106","±44","7.1%","±2.9"
"        Median (dollars)","508","±40","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","1,536","±179","1,536","(X)"
"        Less than 20.0 percent","794","±163","51.7%","±7.4"
"        20.0 to 24.9 percent","173","±69","11.3%","±4.6"
"        25.0 to 29.9 percent","142","±60","9.2%","±3.8"
"        30.0 to 34.9 percent","48","±32","3.1%","±2.2"
"        35.0 percent or more","379","±88","24.7%","±5.1"
"        Not computed","0","±21","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","1,480","±181","1,480","(X)"
"        Less than 10.0 percent","564","±130","38.1%","±7.6"
"        10.0 to 14.9 percent","245","±73","16.6%","±4.6"
"        15.0 to 19.9 percent","168","±74","11.4%","±4.8"
"        20.0 to 24.9 percent","69","±35","4.7%","±2.4"
"        25.0 to 29.9 percent","97","±55","6.6%","±3.7"
"        30.0 to 34.9 percent","38","±37","2.6%","±2.5"
"        35.0 percent or more","299","±97","20.2%","±6.0"
"        Not computed","15","±16","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","3,749","±246","3,749","(X)"
"        Less than $500","842","±168","22.5%","±4.3"
"        $500 to $999","1,505","±232","40.1%","±5.4"
"        $1,000 to $1,499","1,164","±189","31.0%","±4.7"
"        $1,500 to $1,999","194","±62","5.2%","±1.6"
"        $2,000 to $2,499","30","±27","0.8%","±0.7"
"        $2,500 to $2,999","0","±21","0.0%","±1.1"
"        $3,000 or more","14","±16","0.4%","±0.4"
"        Median (dollars)","866","±58","(X)","(X)"
"        No rent paid","121","±47","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","3,553","±239","3,553","(X)"
"        Less than 15.0 percent","570","±148","16.0%","±4.1"
"        15.0 to 19.9 percent","437","±106","12.3%","±2.8"
"        20.0 to 24.9 percent","388","±116","10.9%","±3.3"
"        25.0 to 29.9 percent","429","±118","12.1%","±3.2"
"        30.0 to 34.9 percent","227","±84","6.4%","±2.3"
"        35.0 percent or more","1,502","±205","42.3%","±5.1"
"        Not computed","317","±95","(X)","(X)"
